Region,Category,Indicator,Year,Quarter,Value
UK,Economic Growth,Real GDP Growth Rate (Annualized),2022,3,0.1011
UK,Economic Growth,Real GDP Growth Rate (Annualized),2022,4,0.2603
UK,Economic Growth,Real GDP Growth Rate (Annualized),2023,1,0.0565
UK,Economic Growth,Real GDP Growth Rate (Annualized),2023,2,0.0414
UK,Economic Growth,Real GDP Growth Rate (Annualized),2023,3,-0.2396
UK,Economic Growth,Real GDP Growth Rate (Annualized),2023,4,-0.3214
UK,Economic Growth,Real GDP Growth Rate (Annualized),2024,1,0.8400
UK,Economic Growth,Real GDP Growth Rate (Annualized),2024,2,0.6373
UK,Economic Growth,Real GDP Growth Rate (Annualized),2024,3,0.1955
UK,Economic Growth,Real GDP Growth Rate (Annualized),2024,4,0.2408
UK,Economic Output,Real GDP (Millions GBP),2020,1,"559,365.0000"
UK,Economic Output,Real GDP (Millions GBP),2020,2,"481,227.0000"
UK,Economic Output,Real GDP (Millions GBP),2020,3,"540,319.0000"
UK,Economic Output,Real GDP (Millions GBP),2020,4,"543,809.0000"
UK,Economic Output,Real GDP (Millions GBP),2021,1,"545,116.0000"
UK,Economic Output,Real GDP (Millions GBP),2021,2,"576,525.0000"
UK,Economic Output,Real GDP (Millions GBP),2021,3,"592,707.0000"
UK,Economic Output,Real GDP (Millions GBP),2021,4,"608,304.0000"
UK,Economic Output,Real GDP (Millions GBP),2022,1,"623,014.0000"
UK,Economic Output,Real GDP (Millions GBP),2022,2,"639,293.0000"
UK,Economic Output,Real GDP (Millions GBP),2022,3,"650,233.0000"
UK,Economic Output,Real GDP (Millions GBP),2022,4,"668,409.0000"
UK,Economic Output,Real GDP (Millions GBP),2023,1,"679,194.0000"
UK,Economic Output,Real GDP (Millions GBP),2023,2,"689,618.0000"
UK,Economic Output,Real GDP (Millions GBP),2023,3,"692,982.0000"
UK,Economic Output,Real GDP (Millions GBP),2023,4,"690,370.0000"
UK,Economic Output,Real GDP (Millions GBP),2024,1,"706,118.0000"
UK,Economic Output,Real GDP (Millions GBP),2024,2,"714,628.0000"
UK,Economic Output,Real GDP (Millions GBP),2024,3,"727,181.0000"
UK,Economic Output,Real GDP (Millions GBP),2024,4,"736,079.0000"
UK,Employment,Unemployment Rate,2020,1,4.0333
UK,Employment,Unemployment Rate,2020,2,4.2000
UK,Employment,Unemployment Rate,2020,3,4.9333
UK,Employment,Unemployment Rate,2020,4,5.2333
UK,Employment,Unemployment Rate,2021,1,4.9000
UK,Employment,Unemployment Rate,2021,2,4.7000
UK,Employment,Unemployment Rate,2021,3,4.4000
UK,Employment,Unemployment Rate,2021,4,4.1667
UK,Employment,Unemployment Rate,2022,1,3.8333
UK,Employment,Unemployment Rate,2022,2,3.7000
UK,Employment,Unemployment Rate,2022,3,3.7000
UK,Employment,Unemployment Rate,2022,4,3.9000
UK,Employment,Unemployment Rate,2023,1,3.9667
UK,Employment,Unemployment Rate,2023,2,4.1667
UK,Employment,Unemployment Rate,2023,3,4.1333
UK,Employment,Unemployment Rate,2023,4,4.0000
UK,Employment,Unemployment Rate,2024,1,4.3000
UK,Employment,Unemployment Rate,2024,2,4.2667
UK,Employment,Unemployment Rate,2024,3,4.2333
UK,Employment,Unemployment Rate,2024,4,4.4000
UK,Foreign Trade,Exports,2020,1,14.2652
UK,Foreign Trade,Exports,2020,2,12.9009
UK,Foreign Trade,Exports,2020,3,13.6648
UK,Foreign Trade,Exports,2020,4,14.6839
UK,Foreign Trade,Exports,2021,1,13.1819
UK,Foreign Trade,Exports,2021,2,13.7057
UK,Foreign Trade,Exports,2021,3,13.4569
UK,Foreign Trade,Exports,2021,4,14.1235
UK,Foreign Trade,Exports,2022,1,13.9438
UK,Foreign Trade,Exports,2022,2,14.8367
UK,Foreign Trade,Exports,2022,3,15.5745
UK,Foreign Trade,Exports,2022,4,14.9784
UK,Foreign Trade,Exports,2023,1,14.0688
UK,Foreign Trade,Exports,2023,2,13.6100
UK,Foreign Trade,Exports,2023,3,13.1141
UK,Foreign Trade,Imports,2020,1,19.3125
UK,Foreign Trade,Imports,2020,2,18.0137
UK,Foreign Trade,Imports,2020,3,20.1237
UK,Foreign Trade,Imports,2020,4,22.5875
UK,Foreign Trade,Imports,2021,1,19.6087
UK,Foreign Trade,Imports,2021,2,20.7208
UK,Foreign Trade,Imports,2021,3,21.1313
UK,Foreign Trade,Imports,2021,4,22.2523
UK,Foreign Trade,Imports,2022,1,24.4312
UK,Foreign Trade,Imports,2022,2,25.4763
UK,Foreign Trade,Imports,2022,3,25.2169
UK,Foreign Trade,Imports,2022,4,25.2174
UK,Foreign Trade,Imports,2023,1,22.2691
UK,Foreign Trade,Imports,2023,2,21.9249
UK,Foreign Trade,Imports,2023,3,20.2172
UK,Government Debt,Government Debt to GDP Ratio,2020,1,196.6406
UK,Government Debt,Government Debt to GDP Ratio,2021,1,186.7949
UK,Government Debt,Government Debt to GDP Ratio,2022,1,141.2444
UK,Government Debt,Government Debt to GDP Ratio,2023,1,138.6443
UK,Price Level,CPI (All Items),2020,1,108.5000
UK,Price Level,CPI (All Items),2020,2,108.6667
UK,Price Level,CPI (All Items),2020,3,109.0667
UK,Price Level,CPI (All Items),2020,4,109.2333
UK,Price Level,CPI (All Items),2021,1,109.4667
UK,Price Level,CPI (All Items),2021,2,110.9333
UK,Price Level,CPI (All Items),2021,3,111.9667
UK,Price Level,CPI (All Items),2021,4,114.0667
UK,Price Level,CPI (All Items),2022,1,115.5000
UK,Price Level,CPI (All Items),2022,2,119.7333
UK,Price Level,CPI (All Items),2022,3,121.7667
UK,Price Level,CPI (All Items),2022,4,124.8000
UK,Price Level,CPI (All Items),2023,1,125.8667
UK,Price Level,CPI (All Items),2023,2,128.9333
UK,Price Level,CPI (All Items),2023,3,129.5000
UK,Price Level,CPI (All Items),2023,4,130.1000
UK,Price Level,CPI YoY Growth Rate,2020,1,0.0333
UK,Price Level,CPI YoY Growth Rate,2020,2,0.0333
UK,Price Level,CPI YoY Growth Rate,2020,3,0.1667
UK,Price Level,CPI YoY Growth Rate,2020,4,0.0333
UK,Price Level,CPI YoY Growth Rate,2021,1,0.0667
UK,Price Level,CPI YoY Growth Rate,2021,2,0.5333
UK,Price Level,CPI YoY Growth Rate,2021,3,0.3000
UK,Price Level,CPI YoY Growth Rate,2021,4,0.6667
UK,Price Level,CPI YoY Growth Rate,2022,1,0.5333
UK,Price Level,CPI YoY Growth Rate,2022,2,1.1333
UK,Price Level,CPI YoY Growth Rate,2022,3,0.5000
UK,Price Level,CPI YoY Growth Rate,2022,4,0.8000
UK,Price Level,CPI YoY Growth Rate,2023,1,0.4333
UK,Price Level,CPI YoY Growth Rate,2023,2,0.6667
UK,Price Level,CPI YoY Growth Rate,2023,3,0.2000
UK,Price Level,CPI YoY Growth Rate,2023,4,0.1333
UK,Price Level,CPI YoY Growth Rate,2024,1,0.1000
UK,Real Estate,House Price Index,2020,1,112.1297
UK,Real Estate,House Price Index,2020,2,112.3348
UK,Real Estate,House Price Index,2020,3,115.1981
UK,Real Estate,House Price Index,2020,4,118.3291
UK,Real Estate,House Price Index,2021,1,119.9913
UK,Real Estate,House Price Index,2021,2,120.4420
UK,Real Estate,House Price Index,2021,3,121.4089
UK,Real Estate,House Price Index,2021,4,121.0006
UK,Real Estate,House Price Index,2022,1,122.2217
UK,Real Estate,House Price Index,2022,2,120.1854
UK,Real Estate,House Price Index,2022,3,122.4408
UK,Real Estate,House Price Index,2022,4,119.1114
UK,Real Estate,House Price Index,2023,1,115.3541
UK,Real Estate,House Price Index,2023,2,111.8532
UK,Real Estate,House Price Index,2023,3,113.4931
UK,Real Estate,House Price Index,2023,4,111.5411
UK,Real Estate,House Price Index,2024,1,109.9391
UK,Real Estate,House Price Index,2024,2,109.9853
UK,Real Estate,House Price Index,2024,3,112.3167
UK,Real Estate,House Price Index,2024,4,112.0351
UK,Retail,Retail Sales (Value),2020,1,115.0451
UK,Retail,Retail Sales (Value),2020,2,105.6941
UK,Retail,Retail Sales (Value),2020,3,123.6201
UK,Retail,Retail Sales (Value),2020,4,123.7753
UK,Retail,Retail Sales (Value),2021,1,115.3555
UK,Retail,Retail Sales (Value),2021,2,127.9659
UK,Retail,Retail Sales (Value),2021,3,125.8706
UK,Retail,Retail Sales (Value),2021,4,128.0435
UK,Retail,Retail Sales (Value),2022,1,128.3151
UK,Retail,Retail Sales (Value),2022,2,128.8195
UK,Retail,Retail Sales (Value),2022,3,130.7983
UK,Retail,Retail Sales (Value),2022,4,131.6908
UK,Retail,Retail Sales (Value),2023,1,133.9412
UK,Retail,Retail Sales (Value),2023,2,137.5109
UK,Retail,Retail Sales (Value),2023,3,137.9765
UK,Retail,Retail Sales (Value),2023,4,138.9854
UK,Retail,Retail Sales (Volume),2020,1,-1.7805
UK,Retail,Retail Sales (Volume),2020,2,3.2074
UK,Retail,Retail Sales (Volume),2020,3,1.9648
UK,Retail,Retail Sales (Volume),2020,4,-0.7313
UK,Retail,Retail Sales (Volume),2021,1,-1.0362
UK,Retail,Retail Sales (Volume),2021,2,2.2053
UK,Retail,Retail Sales (Volume),2021,3,-0.9539
UK,Retail,Retail Sales (Volume),2021,4,0.0021
UK,Retail,Retail Sales (Volume),2022,1,-0.9902
UK,Retail,Retail Sales (Volume),2022,2,-0.6655
UK,Retail,Retail Sales (Volume),2022,3,-0.9070
UK,Retail,Retail Sales (Volume),2022,4,-0.0974
UK,Retail,Retail Sales (Volume),2023,1,-0.0963
UK,Retail,Retail Sales (Volume),2023,2,0.5014
UK,Retail,Retail Sales (Volume),2023,3,-0.8923
UK,Retail,Retail Sales (Volume),2023,4,-0.6854
UK,Retail,Retail Sales (Volume),2024,1,1.0094
UK,Retail,Retail Sales (Volume),2024,2,-0.0415
UK,Retail,Retail Sales (Volume),2024,3,0.3679
UK,Retail,Retail Sales (Volume),2024,4,-0.4325
US,Consumer Confidence,Consumer Confidence Index,2020,1,100.9873
US,Consumer Confidence,Consumer Confidence Index,2020,2,98.7920
US,Consumer Confidence,Consumer Confidence Index,2020,3,98.8469
US,Consumer Confidence,Consumer Confidence Index,2020,4,99.2349
US,Consumer Confidence,Consumer Confidence Index,2021,1,99.4393
US,Consumer Confidence,Consumer Confidence Index,2021,2,99.8561
US,Consumer Confidence,Consumer Confidence Index,2021,3,98.7732
US,Consumer Confidence,Consumer Confidence Index,2021,4,98.0710
US,Consumer Confidence,Consumer Confidence Index,2022,1,97.4435
US,Consumer Confidence,Consumer Confidence Index,2022,2,96.6271
US,Consumer Confidence,Consumer Confidence Index,2022,3,96.4464
US,Consumer Confidence,Consumer Confidence Index,2022,4,96.9039
US,Consumer Confidence,Consumer Confidence Index,2023,1,97.3920
US,Consumer Confidence,Consumer Confidence Index,2023,2,97.3639
US,Consumer Confidence,Consumer Confidence Index,2023,3,97.8597
US,Consumer Confidence,Consumer Confidence Index,2023,4,97.7281
US,Consumer Confidence,Consumer Confidence Index,2024,1,98.9130
US,Economic Growth,Real GDP Growth Rate (Annualized),2020,1,-5.2000
US,Economic Growth,Real GDP Growth Rate (Annualized),2020,2,-28.0000
US,Economic Growth,Real GDP Growth Rate (Annualized),2020,3,34.9000
US,Economic Growth,Real GDP Growth Rate (Annualized),2020,4,4.6000
US,Economic Growth,Real GDP Growth Rate (Annualized),2021,1,5.7000
US,Economic Growth,Real GDP Growth Rate (Annualized),2021,2,7.0000
US,Economic Growth,Real GDP Growth Rate (Annualized),2021,3,3.3000
US,Economic Growth,Real GDP Growth Rate (Annualized),2021,4,7.0000
US,Economic Growth,Real GDP Growth Rate (Annualized),2022,1,-1.0000
US,Economic Growth,Real GDP Growth Rate (Annualized),2022,2,0.6000
US,Economic Growth,Real GDP Growth Rate (Annualized),2022,3,2.9000
US,Economic Growth,Real GDP Growth Rate (Annualized),2022,4,2.8000
US,Economic Growth,Real GDP Growth Rate (Annualized),2023,1,2.9000
US,Economic Growth,Real GDP Growth Rate (Annualized),2023,2,2.5000
US,Economic Growth,Real GDP Growth Rate (Annualized),2023,3,4.7000
US,Economic Growth,Real GDP Growth Rate (Annualized),2023,4,3.4000
US,Economic Growth,Real GDP Growth Rate (Annualized),2024,1,0.8000
US,Economic Growth,Real GDP Growth Rate (Annualized),2024,2,3.6000
US,Economic Growth,Real GDP Growth Rate (Annualized),2024,3,3.3000
US,Economic Growth,Real GDP Growth Rate (Annualized),2024,4,1.9000
US,Economic Output,Real GDP (Billions USD),2020,1,"20,709.2120"
US,Economic Output,Real GDP (Billions USD),2020,2,"19,077.9920"
US,Economic Output,Real GDP (Billions USD),2020,3,"20,558.8790"
US,Economic Output,Real GDP (Billions USD),2020,4,"20,791.9170"
US,Economic Output,Real GDP (Billions USD),2021,1,"21,082.1340"
US,Economic Output,Real GDP (Billions USD),2021,2,"21,440.9290"
US,Economic Output,Real GDP (Billions USD),2021,3,"21,617.8280"
US,Economic Output,Real GDP (Billions USD),2021,4,"21,988.7370"
US,Economic Output,Real GDP (Billions USD),2022,1,"21,932.7100"
US,Economic Output,Real GDP (Billions USD),2022,2,"21,967.0450"
US,Economic Output,Real GDP (Billions USD),2022,3,"22,125.6250"
US,Economic Output,Real GDP (Billions USD),2022,4,"22,278.3450"
US,Economic Output,Real GDP (Billions USD),2023,1,"22,439.6070"
US,Economic Output,Real GDP (Billions USD),2023,2,"22,580.4990"
US,Economic Output,Real GDP (Billions USD),2023,3,"22,840.9890"
US,Economic Output,Real GDP (Billions USD),2023,4,"23,033.7800"
US,Economic Output,Real GDP (Billions USD),2024,1,"23,082.1190"
US,Economic Output,Real GDP (Billions USD),2024,2,"23,286.5080"
US,Economic Output,Real GDP (Billions USD),2024,3,"23,478.5700"
US,Economic Output,Real GDP (Billions USD),2024,4,"23,586.5420"
US,Employment,Unemployment Rate,2020,1,3.8333
US,Employment,Unemployment Rate,2020,2,13.0000
US,Employment,Unemployment Rate,2020,3,8.8000
US,Employment,Unemployment Rate,2020,4,6.7667
US,Employment,Unemployment Rate,2021,1,6.2333
US,Employment,Unemployment Rate,2021,2,5.9333
US,Employment,Unemployment Rate,2021,3,5.0667
US,Employment,Unemployment Rate,2021,4,4.2000
US,Employment,Unemployment Rate,2022,1,3.8333
US,Employment,Unemployment Rate,2022,2,3.6333
US,Employment,Unemployment Rate,2022,3,3.5333
US,Employment,Unemployment Rate,2022,4,3.5667
US,Employment,Unemployment Rate,2023,1,3.5333
US,Employment,Unemployment Rate,2023,2,3.5333
US,Employment,Unemployment Rate,2023,3,3.6667
US,Employment,Unemployment Rate,2023,4,3.8000
US,Employment,Unemployment Rate,2024,1,3.8333
US,Employment,Unemployment Rate,2024,2,4.0000
US,Employment,Unemployment Rate,2024,3,4.1667
US,Employment,Unemployment Rate,2024,4,4.1333
US,Foreign Trade,Exports,2020,1,7.3449
US,Foreign Trade,Exports,2020,2,5.7976
US,Foreign Trade,Exports,2020,3,6.5949
US,Foreign Trade,Exports,2020,4,6.9814
US,Foreign Trade,Exports,2021,1,7.2840
US,Foreign Trade,Exports,2021,2,7.4171
US,Foreign Trade,Exports,2021,3,7.3832
US,Foreign Trade,Exports,2021,4,7.6989
US,Foreign Trade,Exports,2022,1,7.7634
US,Foreign Trade,Exports,2022,2,8.2792
US,Foreign Trade,Exports,2022,3,8.2825
US,Foreign Trade,Exports,2022,4,7.7613
US,Foreign Trade,Exports,2023,1,7.7278
US,Foreign Trade,Exports,2023,2,7.2206
US,Foreign Trade,Exports,2023,3,7.3600
US,Foreign Trade,Imports,2020,1,10.9260
US,Foreign Trade,Imports,2020,2,10.2191
US,Foreign Trade,Imports,2020,3,11.0289
US,Foreign Trade,Imports,2020,4,11.4838
US,Foreign Trade,Imports,2021,1,11.8362
US,Foreign Trade,Imports,2021,2,11.9314
US,Foreign Trade,Imports,2021,3,11.8941
US,Foreign Trade,Imports,2021,4,12.2782
US,Foreign Trade,Imports,2022,1,13.0461
US,Foreign Trade,Imports,2022,2,13.0892
US,Foreign Trade,Imports,2022,3,12.4006
US,Foreign Trade,Imports,2022,4,11.8817
US,Foreign Trade,Imports,2023,1,11.6677
US,Foreign Trade,Imports,2023,2,11.3243
US,Foreign Trade,Imports,2023,3,11.1629
US,Government Debt,Government Debt to GDP Ratio,2020,1,124.5147
US,Government Debt,Government Debt to GDP Ratio,2021,1,118.4009
US,Government Debt,Government Debt to GDP Ratio,2022,1,112.8176
US,Government Debt,Government Debt to GDP Ratio,2023,1,114.7556
US,Industrial Production,Industrial Production Index,2020,1,99.9786
US,Industrial Production,Industrial Production Index,2020,2,87.4555
US,Industrial Production,Industrial Production Index,2020,3,95.6082
US,Industrial Production,Industrial Production Index,2020,4,97.2275
US,Industrial Production,Industrial Production Index,2021,1,97.5045
US,Industrial Production,Industrial Production Index,2021,2,99.0556
US,Industrial Production,Industrial Production Index,2021,3,99.7012
US,Industrial Production,Industrial Production Index,2021,4,100.9391
US,Industrial Production,Industrial Production Index,2022,1,101.9112
US,Industrial Production,Industrial Production Index,2022,2,102.8969
US,Industrial Production,Industrial Production Index,2022,3,103.2511
US,Industrial Production,Industrial Production Index,2022,4,102.7922
US,Industrial Production,Industrial Production Index,2023,1,102.7874
US,Industrial Production,Industrial Production Index,2023,2,102.8620
US,Industrial Production,Industrial Production Index,2023,3,103.1585
US,Industrial Production,Industrial Production Index,2023,4,102.6986
US,Industrial Production,Industrial Production Index,2024,1,102.2428
US,Industrial Production,Industrial Production Index,2024,2,102.8633
US,Industrial Production,Industrial Production Index,2024,3,102.7114
US,Industrial Production,Industrial Production Index,2024,4,102.4029
US,Price Level,CPI (All Urban Consumers),2020,1,258.8177
US,Price Level,CPI (All Urban Consumers),2020,2,256.2920
US,Price Level,CPI (All Urban Consumers),2020,3,259.2217
US,Price Level,CPI (All Urban Consumers),2020,4,261.0917
US,Price Level,CPI (All Urban Consumers),2021,1,263.6863
US,Price Level,CPI (All Urban Consumers),2021,2,268.5797
US,Price Level,CPI (All Urban Consumers),2021,3,272.8863
US,Price Level,CPI (All Urban Consumers),2021,4,278.7193
US,Price Level,CPI (All Urban Consumers),2022,1,284.8447
US,Price Level,CPI (All Urban Consumers),2022,2,291.6510
US,Price Level,CPI (All Urban Consumers),2022,3,295.5077
US,Price Level,CPI (All Urban Consumers),2022,4,298.4983
US,Price Level,CPI (All Urban Consumers),2023,1,301.1917
US,Price Level,CPI (All Urban Consumers),2023,2,303.4243
US,Price Level,CPI (All Urban Consumers),2023,3,306.0423
US,Price Level,CPI (All Urban Consumers),2023,4,308.1583
US,Price Level,CPI (All Urban Consumers),2024,1,310.9743
US,Price Level,CPI (All Urban Consumers),2024,2,313.0957
US,Price Level,CPI (All Urban Consumers),2024,3,314.1827
US,Price Level,CPI (All Urban Consumers),2024,4,316.5387
US,Price Level,CPI YoY Growth Rate,2020,1,0.1481
US,Price Level,CPI YoY Growth Rate,2020,2,-0.0398
US,Price Level,CPI YoY Growth Rate,2020,3,0.3201
US,Price Level,CPI YoY Growth Rate,2020,4,0.0249
US,Price Level,CPI YoY Growth Rate,2021,1,0.5604
US,Price Level,CPI YoY Growth Rate,2021,2,0.8509
US,Price Level,CPI YoY Growth Rate,2021,3,0.3197
US,Price Level,CPI YoY Growth Rate,2021,4,0.5431
US,Price Level,CPI YoY Growth Rate,2022,1,1.0300
US,Price Level,CPI YoY Growth Rate,2022,2,1.0114
US,Price Level,CPI YoY Growth Rate,2022,3,0.0559
US,Price Level,CPI YoY Growth Rate,2022,4,-0.0008
US,Price Level,CPI YoY Growth Rate,2023,1,0.5629
US,Price Level,CPI YoY Growth Rate,2023,2,0.3602
US,Price Level,CPI YoY Growth Rate,2023,3,0.2920
US,Price Level,CPI YoY Growth Rate,2023,4,-0.1131
US,Price Level,CPI YoY Growth Rate,2024,1,0.6034
US,Real Estate,House Price Index,2020,1,133.7843
US,Real Estate,House Price Index,2020,2,135.5990
US,Real Estate,House Price Index,2020,3,138.3964
US,Real Estate,House Price Index,2020,4,143.2785
US,Real Estate,House Price Index,2021,1,146.2313
US,Real Estate,House Price Index,2021,2,149.5961
US,Real Estate,House Price Index,2021,3,153.4833
US,Real Estate,House Price Index,2021,4,157.1718
US,Real Estate,House Price Index,2022,1,160.2324
US,Real Estate,House Price Index,2022,2,159.9840
US,Real Estate,House Price Index,2022,3,156.9857
US,Real Estate,House Price Index,2022,4,157.0991
US,Real Estate,House Price Index,2023,1,157.1249
US,Real Estate,House Price Index,2023,2,157.1999
US,Real Estate,House Price Index,2023,3,158.8479
US,Real Estate,House Price Index,2023,4,160.7135
US,Real Estate,House Price Index,2024,1,160.5004
US,Real Estate,House Price Index,2024,2,159.5373
US,Real Estate,House Price Index,2024,3,160.4240
US,Real Estate,House Price Index,2024,4,161.6651
US,Retail,Retail Sales (Value),2020,1,"464,335,833,333.3329"
US,Retail,Retail Sales (Value),2021,1,"543,551,000,000.0000"
US,Retail,Retail Sales (Value),2022,1,"591,252,000,000.0000"
US,Retail,Retail Sales (Volume),2020,1,-0.7993
US,Retail,Retail Sales (Volume),2020,2,-4.0962
US,Retail,Retail Sales (Volume),2020,3,5.4298
US,Retail,Retail Sales (Volume),2020,4,6.1563
US,Retail,Retail Sales (Volume),2021,1,14.2529
US,Retail,Retail Sales (Volume),2021,2,22.4938
US,Retail,Retail Sales (Volume),2021,3,6.2677
US,Retail,Retail Sales (Volume),2021,4,6.5826
US,Retail,Retail Sales (Volume),2022,1,2.9186
US,Retail,Retail Sales (Volume),2022,2,-0.6611
US,Retail,Retail Sales (Volume),2022,3,0.5658
US,Retail,Retail Sales (Volume),2022,4,-1.7008
US,Retail,Retail Sales (Volume),2023,1,-2.1657
US,Retail,Retail Sales (Volume),2023,2,-3.1934
US,Retail,Retail Sales (Volume),2023,3,-1.0288
US,Retail,Retail Sales (Volume),2023,4,-0.1646
US,Retail,Retail Sales (Volume),2024,1,-1.9673
US,Retail,Retail Sales (Volume),2024,2,-1.0394
US,Retail,Retail Sales (Volume),2024,3,-0.6865
US,Retail,Retail Sales (Volume),2024,4,1.0898
